CODE,NAME,DISEASE,BASE_ANTIGEN,INTRO_YEAR,CASES_BEFORE,CASES_AFTER,ABS_CHANGE,PCT_CHANGE
AZE,Azerbaijan,POLIO,IPV2_FRAC,2018.0,4.925925925925926,0.0,-4.925925925925926,-100.0
BDI,Burundi,POLIO,IPV1,2014.0,13.764705882352942,0.2,-13.564705882352943,-98.54700854700855
BDI,Burundi,POLIO,IPV1_FRAC,2018.0,12.31578947368421,0.3333333333333333,-11.982456140350877,-97.29344729344729
BDI,Burundi,POLIO,IPV2,2021.0,11.414634146341463,0.6666666666666666,-10.747967479674797,-94.15954415954417
BDI,Burundi,POLIO,IPV2_FRAC,2018.0,12.31578947368421,0.3333333333333333,-11.982456140350877,-97.29344729344729
BEL,Belgium,POLIO,IPV1,2005.0,0.16,0.0,-0.16,-100.0
BEL,Belgium,POLIO,IPV1_FRAC,2018.0,0.10526315789473684,0.0,-0.10526315789473684,-100.0
BEL,Belgium,POLIO,IPV2_FRAC,2018.0,0.10526315789473684,0.0,-0.10526315789473684,-100.0
BEN,Benin,POLIO,IPV1,2014.0,38.85294117647059,2.8,-36.05294117647059,-92.79333838001514
BEN,Benin,POLIO,IPV1_FRAC,2018.0,34.76315789473684,4.666666666666667,-30.096491228070175,-86.57582639414585
BEN,Benin,POLIO,IPV2,2021.0,32.48780487804878,5.666666666666667,-26.82113821138211,-82.55755755755754
BEN,Benin,POLIO,IPV2_FRAC,2018.0,34.76315789473684,4.666666666666667,-30.096491228070175,-86.57582639414585
BFA,Burkina Faso,POLIO,IPV1,2014.0,31.647058823529413,7.888888888888889,-23.758169934640524,-75.07228418009088
BFA,Burkina Faso,POLIO,IPV1_FRAC,2018.0,28.31578947368421,14.2,-14.11578947368421,-49.85130111524164
BFA,Burkina Faso,POLIO,IPV2,2021.0,27.853658536585368,2.5,-25.353658536585368,-91.02451838879159
BFA,Burkina Faso,POLIO,IPV2_FRAC,2018.0,28.31578947368421,14.2,-14.11578947368421,-49.85130111524164
BGD,Bangladesh,POLIO,IPV1,2014.0,138.08823529411765,0.0,-138.08823529411765,-100.0
BGD,Bangladesh,POLIO,IPV1_FRAC,2018.0,123.55263157894737,0.0,-123.55263157894737,-100.0
BGD,Bangladesh,POLIO,IPV2,2021.0,114.51219512195122,0.0,-114.51219512195122,-100.0
BGD,Bangladesh,POLIO,IPV2_FRAC,2018.0,123.55263157894737,0.0,-123.55263157894737,-100.0
BGR,Bulgaria,POLIO,IPV1,2014.0,1.9705882352941178,0.0,-1.9705882352941178,-100.0
BGR,Bulgaria,POLIO,IPV1_FRAC,2018.0,1.763157894736842,0.0,-1.763157894736842,-100.0
BGR,Bulgaria,POLIO,IPV2_FRAC,2018.0,1.763157894736842,0.0,-1.763157894736842,-100.0
BHR,Bahrain,POLIO,IPV1,2009.0,0.4482758620689655,0.0,-0.4482758620689655,-100.0
BHR,Bahrain,POLIO,IPV1_FRAC,2018.0,0.34210526315789475,0.0,-0.34210526315789475,-100.0
BHR,Bahrain,POLIO,IPV2,2021.0,0.3170731707317073,0.0,-0.3170731707317073,-100.0
BHR,Bahrain,POLIO,IPV2_FRAC,2018.0,0.34210526315789475,0.0,-0.34210526315789475,-100.0
BHS,Bahamas,POLIO,IPV1,2014.0,0.0,0.0,0.0,
BHS,Bahamas,POLIO,IPV1_FRAC,2018.0,0.0,0.0,0.0,
BHS,Bahamas,POLIO,IPV2,2020.0,0.0,0.0,0.0,
BHS,Bahamas,POLIO,IPV2_FRAC,2018.0,0.0,0.0,0.0,
BIH,Bosnia and Herzegovina,POLIO,IPV1,2014.0,0.0,0.0,0.0,
BIH,Bosnia and Herzegovina,POLIO,IPV1_FRAC,2018.0,0.0,0.0,0.0,
BIH,Bosnia and Herzegovina,POLIO,IPV2,2021.0,0.0,0.0,0.0,
BIH,Bosnia and Herzegovina,POLIO,IPV2_FRAC,2018.0,0.0,0.0,0.0,
BLR,Belarus,POLIO,IPV1,2014.0,0.17391304347826086,0.0,-0.17391304347826086,-100.0
BLR,Belarus,POLIO,IPV1_FRAC,2018.0,0.14814814814814814,0.0,-0.14814814814814814,-100.0
BLR,Belarus,POLIO,IPV2_FRAC,2018.0,0.14814814814814814,0.0,-0.14814814814814814,-100.0
BLZ,Belize,POLIO,IPV1,2014.0,0.1,0.0,-0.1,-100.0
BLZ,Belize,POLIO,IPV1_FRAC,2018.0,0.1,0.0,-0.1,-100.0
BLZ,Belize,POLIO,IPV2,2020.0,0.09375,0.0,-0.09375,-100.0
BLZ,Belize,POLIO,IPV2_FRAC,2018.0,0.1,0.0,-0.1,-100.0
